instruction,expected_intent,expected_entities,expected_workflow,missing_fields,risk_level
Send an email to manager,SEND_EMAIL,"{""recipient"": ""manager""}","[{""action"": ""OPEN_PAGE"", ""target"": ""email"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""recipient"", ""value"": ""manager""}, {""action"": ""ENTER_TEXT"", ""target"": ""subject"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""message"", ""value"": null}, {""action"": ""SUBMIT"", ""target"": ""send"", ""value"": null}]","[""subject"", ""message""]",medium
Customer records se Amit delete karo,DELETE_CUSTOMER,"{""customer_name"": ""Amit""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Amit""}]",[],high
Delete the customer record for Arjun,DELETE_CUSTOMER,"{""customer_name"": ""Arjun""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Arjun""}]",[],high
Sara ka form fill karo phone 9812345678,FILL_FORM,"{""customer_name"": ""Sara"", ""phone_number"": ""9812345678""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""CLICK"", ""target"": ""add-customer"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""customer-name"", ""value"": ""Sara""}, {""action"": ""ENTER_TEXT"", ""target"": ""phone-number"", ""value"": ""9812345678""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],low
Delete Sneha's customer record,DELETE_CUSTOMER,"{""customer_name"": ""Sneha""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Sneha""}]",[],high
Customer Meera ko remove karo,DELETE_CUSTOMER,"{""customer_name"": ""Meera""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Meera""}]",[],high
Remove customer Ananya,DELETE_CUSTOMER,"{""customer_name"": ""Ananya""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Ananya""}]",[],high
Please make Printer cost 18000,UPDATE_PRODUCT,"{""product_name"": ""Printer"", ""price"": ""18000""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""Printer""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""18000""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
"Create customer Karan, phone 9012345678",ADD_CUSTOMER,"{""customer_name"": ""Karan"", ""phone_number"": ""9012345678""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""CLICK"", ""target"": ""add-customer"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""customer-name"", ""value"": ""Karan""}, {""action"": ""ENTER_TEXT"", ""target"": ""phone-number"", ""value"": ""9012345678""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],low
Karan ka account delete karo,DELETE_CUSTOMER,"{""customer_name"": ""Karan""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Karan""}]",[],high
Please create a customer called Amit with 9988776655,ADD_CUSTOMER,"{""customer_name"": ""Amit"", ""phone_number"": ""9988776655""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""CLICK"", ""target"": ""add-customer"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""customer-name"", ""value"": ""Amit""}, {""action"": ""ENTER_TEXT"", ""target"": ""phone-number"", ""value"": ""9988776655""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],low
Please download sales report dated Monday,DOWNLOAD_REPORT,"{""report_type"": ""sales report"", ""date"": ""Monday""}","[{""action"": ""OPEN_PAGE"", ""target"": ""reports"", ""value"": null}, {""action"": ""DOWNLOAD_FILE"", ""target"": ""report-download"", ""value"": null}]",[],low
today ka daily report download karo,DOWNLOAD_REPORT,"{""report_type"": ""daily report"", ""date"": ""today""}","[{""action"": ""OPEN_PAGE"", ""target"": ""reports"", ""value"": null}, {""action"": ""DOWNLOAD_FILE"", ""target"": ""report-download"", ""value"": null}]",[],low
Update Mouse ka price 59999 kar do,UPDATE_PRODUCT,"{""product_name"": ""Mouse"", ""price"": ""59999""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""Mouse""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""59999""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
I want Nisha removed from the customer list,DELETE_CUSTOMER,"{""customer_name"": ""Nisha""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Nisha""}]",[],high
Take Neha off the customer list,DELETE_CUSTOMER,"{""customer_name"": ""Neha""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Neha""}]",[],high
Please remove Manav from customers,DELETE_CUSTOMER,"{""customer_name"": ""Manav""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Manav""}]",[],high
Update Headphones ka price 1299 kar do,UPDATE_PRODUCT,"{""product_name"": ""Headphones"", ""price"": ""1299""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""Headphones""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""1299""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
Please delete Amit from the CRM,DELETE_CUSTOMER,"{""customer_name"": ""Amit""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Amit""}]",[],high
Please remove Arjun from customers,DELETE_CUSTOMER,"{""customer_name"": ""Arjun""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Arjun""}]",[],high
Set iPhone price to 599,UPDATE_PRODUCT,"{""product_name"": ""iPhone"", ""price"": ""599""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""iPhone""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""599""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
Please create a customer called Sara with 9812345678,ADD_CUSTOMER,"{""customer_name"": ""Sara"", ""phone_number"": ""9812345678""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""CLICK"", ""target"": ""add-customer"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""customer-name"", ""value"": ""Sara""}, {""action"": ""ENTER_TEXT"", ""target"": ""phone-number"", ""value"": ""9812345678""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],low
Update Monitor ka price 1299 kar do,UPDATE_PRODUCT,"{""product_name"": ""Monitor"", ""price"": ""1299""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""Monitor""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""1299""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
Set Monitor price to 599,UPDATE_PRODUCT,"{""product_name"": ""Monitor"", ""price"": ""599""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""Monitor""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""599""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
Rahul ko customers se hatao,DELETE_CUSTOMER,"{""customer_name"": ""Rahul""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Rahul""}]",[],high
Change the price of Camera to 24999,UPDATE_PRODUCT,"{""product_name"": ""Camera"", ""price"": ""24999""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""Camera""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""24999""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
"Fill customer form with Meera, phone 9876501234",FILL_FORM,"{""customer_name"": ""Meera"", ""phone_number"": ""9876501234""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""CLICK"", ""target"": ""add-customer"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""customer-name"", ""value"": ""Meera""}, {""action"": ""ENTER_TEXT"", ""target"": ""phone-number"", ""value"": ""9876501234""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],low
Nisha customer delete kar do,DELETE_CUSTOMER,"{""customer_name"": ""Nisha""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Nisha""}]",[],high
Display the customer data,READ_TABLE,"{""table"": ""customer data""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customer-data"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-data-body"", ""value"": null}]",[],low
Delete Isha from customers,DELETE_CUSTOMER,"{""customer_name"": ""Isha""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Isha""}]",[],high
"New customer Rohan, phone number 9345678901",ADD_CUSTOMER,"{""customer_name"": ""Rohan"", ""phone_number"": ""9345678901""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""CLICK"", ""target"": ""add-customer"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""customer-name"", ""value"": ""Rohan""}, {""action"": ""ENTER_TEXT"", ""target"": ""phone-number"", ""value"": ""9345678901""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],low
Delete Arjun from customers,DELETE_CUSTOMER,"{""customer_name"": ""Arjun""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Arjun""}]",[],high
Can you delete Riya?,DELETE_CUSTOMER,"{""customer_name"": ""Riya""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Riya""}]",[],high
Please download daily report dated last week,DOWNLOAD_REPORT,"{""report_type"": ""daily report"", ""date"": ""last week""}","[{""action"": ""OPEN_PAGE"", ""target"": ""reports"", ""value"": null}, {""action"": ""DOWNLOAD_FILE"", ""target"": ""report-download"", ""value"": null}]",[],low
Download the monthly report for this month,DOWNLOAD_REPORT,"{""report_type"": ""monthly report"", ""date"": ""this month""}","[{""action"": ""OPEN_PAGE"", ""target"": ""reports"", ""value"": null}, {""action"": ""DOWNLOAD_FILE"", ""target"": ""report-download"", ""value"": null}]",[],low
Please make Laptop cost 4999,UPDATE_PRODUCT,"{""product_name"": ""Laptop"", ""price"": ""4999""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""Laptop""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""4999""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
Change the price of iPhone to 1299,UPDATE_PRODUCT,"{""product_name"": ""iPhone"", ""price"": ""1299""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""iPhone""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""1299""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
Remove customer Priya,DELETE_CUSTOMER,"{""customer_name"": ""Priya""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Priya""}]",[],high
Download report,DOWNLOAD_REPORT,{},[],"[""report_type"", ""date""]",low
Remove Riya from the customer list,DELETE_CUSTOMER,"{""customer_name"": ""Riya""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Riya""}]",[],high
Get sales report for yesterday,DOWNLOAD_REPORT,"{""report_type"": ""sales report"", ""date"": ""yesterday""}","[{""action"": ""OPEN_PAGE"", ""target"": ""reports"", ""value"": null}, {""action"": ""DOWNLOAD_FILE"", ""target"": ""report-download"", ""value"": null}]",[],low
Take Rohan off the customer list,DELETE_CUSTOMER,"{""customer_name"": ""Rohan""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Rohan""}]",[],high
Please make Laptop cost 1299,UPDATE_PRODUCT,"{""product_name"": ""Laptop"", ""price"": ""1299""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""Laptop""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""1299""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
Remove Arjun as a customer,DELETE_CUSTOMER,"{""customer_name"": ""Arjun""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Arjun""}]",[],high
Change the price of Monitor to 1299,UPDATE_PRODUCT,"{""product_name"": ""Monitor"", ""price"": ""1299""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""Monitor""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""1299""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
Set iPhone price to 59999,UPDATE_PRODUCT,"{""product_name"": ""iPhone"", ""price"": ""59999""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""iPhone""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""59999""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
Download the daily report for today,DOWNLOAD_REPORT,"{""report_type"": ""daily report"", ""date"": ""today""}","[{""action"": ""OPEN_PAGE"", ""target"": ""reports"", ""value"": null}, {""action"": ""DOWNLOAD_FILE"", ""target"": ""report-download"", ""value"": null}]",[],low
Please create a customer called Rohan with 9345678901,ADD_CUSTOMER,"{""customer_name"": ""Rohan"", ""phone_number"": ""9345678901""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""CLICK"", ""target"": ""add-customer"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""customer-name"", ""value"": ""Rohan""}, {""action"": ""ENTER_TEXT"", ""target"": ""phone-number"", ""value"": ""9345678901""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],low
Mouse ka daam 1299 karna hai,UPDATE_PRODUCT,"{""product_name"": ""Mouse"", ""price"": ""1299""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""Mouse""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""1299""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
"Customer Ananya add kar do, number 9765432101",ADD_CUSTOMER,"{""customer_name"": ""Ananya"", ""phone_number"": ""9765432101""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""CLICK"", ""target"": ""add-customer"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""customer-name"", ""value"": ""Ananya""}, {""action"": ""ENTER_TEXT"", ""target"": ""phone-number"", ""value"": ""9765432101""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],low
Show me the customer records,READ_TABLE,"{""table"": ""customer records""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customer-records"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-records-body"", ""value"": null}]",[],low
Take Aditya off the customer list,DELETE_CUSTOMER,"{""customer_name"": ""Aditya""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Aditya""}]",[],high
Delete custmer Riya,DELETE_CUSTOMER,"{""customer_name"": ""Riya""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Riya""}]",[],high
Meera ka form fill karo phone 9876501234,FILL_FORM,"{""customer_name"": ""Meera"", ""phone_number"": ""9876501234""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""CLICK"", ""target"": ""add-customer"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""customer-name"", ""value"": ""Meera""}, {""action"": ""ENTER_TEXT"", ""target"": ""phone-number"", ""value"": ""9876501234""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],low
Change the price of Mouse to 50000,UPDATE_PRODUCT,"{""product_name"": ""Mouse"", ""price"": ""50000""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""Mouse""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""50000""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
Please make Monitor cost 18000,UPDATE_PRODUCT,"{""product_name"": ""Monitor"", ""price"": ""18000""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""Monitor""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""18000""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
Show me the product table,READ_TABLE,"{""table"": ""product table""}","[{""action"": ""OPEN_PAGE"", ""target"": ""product-table"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#product-table-body"", ""value"": null}]",[],low
Display the customers,READ_TABLE,"{""table"": ""customers""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customers-body"", ""value"": null}]",[],low
Please remove Rohan from customers,DELETE_CUSTOMER,"{""customer_name"": ""Rohan""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Rohan""}]",[],high
Please make Tablet cost 599,UPDATE_PRODUCT,"{""product_name"": ""Tablet"", ""price"": ""599""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""Tablet""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""599""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
Get monthly report for today,DOWNLOAD_REPORT,"{""report_type"": ""monthly report"", ""date"": ""today""}","[{""action"": ""OPEN_PAGE"", ""target"": ""reports"", ""value"": null}, {""action"": ""DOWNLOAD_FILE"", ""target"": ""report-download"", ""value"": null}]",[],low
Set Camera price to 24999,UPDATE_PRODUCT,"{""product_name"": ""Camera"", ""price"": ""24999""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""Camera""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""24999""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
Remove customer Arjun,DELETE_CUSTOMER,"{""customer_name"": ""Arjun""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Arjun""}]",[],high
Delete the customer record for Amit,DELETE_CUSTOMER,"{""customer_name"": ""Amit""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Amit""}]",[],high
uplod image.png,UPLOAD_FILE,"{""file_name"": ""image.png""}","[{""action"": ""OPEN_PAGE"", ""target"": ""files"", ""value"": null}, {""action"": ""UPLOAD_FILE"", ""target"": ""file-input"", ""value"": ""image.png""}]",[],low
Please make Headphones cost 24999,UPDATE_PRODUCT,"{""product_name"": ""Headphones"", ""price"": ""24999""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""Headphones""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""24999""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
Please remove Varun from customers,DELETE_CUSTOMER,"{""customer_name"": ""Varun""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Varun""}]",[],high
"Customer Meera add kar do, number 9876501234",ADD_CUSTOMER,"{""customer_name"": ""Meera"", ""phone_number"": ""9876501234""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""CLICK"", ""target"": ""add-customer"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""customer-name"", ""value"": ""Meera""}, {""action"": ""ENTER_TEXT"", ""target"": ""phone-number"", ""value"": ""9876501234""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],low
"Fill customer form with Karan, phone 9012345678",FILL_FORM,"{""customer_name"": ""Karan"", ""phone_number"": ""9012345678""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""CLICK"", ""target"": ""add-customer"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""customer-name"", ""value"": ""Karan""}, {""action"": ""ENTER_TEXT"", ""target"": ""phone-number"", ""value"": ""9012345678""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],low
Set Tablet price to 24999,UPDATE_PRODUCT,"{""product_name"": ""Tablet"", ""price"": ""24999""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""Tablet""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""24999""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
Set Camera price to 4999,UPDATE_PRODUCT,"{""product_name"": ""Camera"", ""price"": ""4999""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""Camera""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""4999""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
Change Printer price to ₹599,UPDATE_PRODUCT,"{""product_name"": ""Printer"", ""price"": ""599""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""Printer""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""599""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
Amit ka account bana do mobile 9988776655,ADD_CUSTOMER,"{""customer_name"": ""Amit"", ""phone_number"": ""9988776655""}",[],[],low
Vikram ka customer record delete karo,DELETE_CUSTOMER,"{""customer_name"": ""Vikram""}","[{""action"": ""OPEN_PAGE"", ""target"": ""customers"", ""value"": null}, {""action"": ""READ_TABLE"", ""target"": ""#customer-table-body"", ""value"": null}, {""action"": ""DELETE"", ""target"": "".delete-button"", ""value"": ""Vikram""}]",[],high
Pichle hafte ki sales report download karo,DOWNLOAD_REPORT,"{""report_type"": ""sales report"", ""date"": ""last week""}",[],[],low
Update Keyboard ka price 18000 kar do,UPDATE_PRODUCT,"{""product_name"": ""Keyboard"", ""price"": ""18000""}","[{""action"": ""OPEN_PAGE"", ""target"": ""products"", ""value"": null}, {""action"": ""ENTER_TEXT"", ""target"": ""product-name"", ""value"": ""Keyboard""}, {""action"": ""ENTER_TEXT"", ""target"": ""price"", ""value"": ""18000""}, {""action"": ""SUBMIT"", ""target"": ""save"", ""value"": null}]",[],medium
